id; Название курса; Рейтинг; Описание; Организатор; Преподаватели
873;   английский язык 2 класс — Stepik; None; задания для повторения материала на каникулах; None; Елена Мананникова 
874;   «Музыка вокруг нас» — Stepik; None; Знакомство детей с  музыкой ; None; Василя Якубова 
875;   кулинария — Stepik; None; учимся варить манную кашу; None; Ирина Петрова 
876;   валяние из шерсти  — Stepik; None; обучение сухому валянию из шерсти ; None; Умида Якубова 
877;   кулинария — Stepik; None; научить варить кашу; None; Ирина Петрова 
880;   Курс для обучения английскому языку по методике "Letterland". — Stepik; None; Обучающий курс для преподавателей английского языка, осуществляющих образовательную деятельность в дошкольных образовательных учреждениях. ; None; Екатерина Жерехова 
881;   Русский язык — Stepik; None; Обзорный курс русского языка. Некоторые сложные вопросы фонетики, орфоэпии, морфемики и словообразования.; None; Елена Волгина 
883;   Литературные места России — Stepik; None; В этом курсе вы получите основные знания о литературных местах России, связанных с именами писателей и поэтов, чьё творчество изучается на уроках литературы в 6 классе; None; Елена Рубцова 
885;   витамины — Stepik; None; тестовый курс; None; Елена Егорова 
886;   Национальные французские праздники  — Stepik; None; В этом курсе Вы получите основные знания о национальных французских праздниках; None; Анна Ивашина 
887;   Курс основы использования металлоискателя — Stepik; None; Работа с металлоискателем в полевых условиях; None; partinetadmin partinetadmin 
890;   Восточные славяне в древности — Stepik; None; В этом курсе вы познакомитесь с историей происхождения восточных славян, с их основными занятиями, бытом и нравами, верованиями; None; Оксана Коблюк 
892;   Математика с увлечением — Stepik; None; Математика - очень сложный, но вместе с тем и очень интересный предмет.Математика нужна и важна; None; Светлана Карпутцева 
895;   ффффф — Stepik; None; фффф; None; Mikhail Mehanig 
896;   "Волшебная нить " — Stepik; None; На протяжении всей истории человечества народное искусство было неотъемлемой частью национальной культуры. Народное искусство сохраняет традиции преемственности поколений, влияет на формирование художественных вкусов. Основу декоративно-прикладного искусства составляет творческий ручной труд мастера. Бисероплетение известно с глубокой древности как вид художественных ремесел. Из поколения в поколение передавались его лучшие традиции. Бисероплетение сохраняет свое значение и в наши дни. ; None; Елена Павловна 
897;   Продажи B2B — Stepik; None; Курс предназначен для KAM работающих в сфере продаж B2B; None; Oleg Yablonsky 
901;   Курс о шитье — Stepik; None; О шитье: в этом курсе Вы получите основные знания о шитье; None; Anonymous 18361880 
902;   Введение в дискретную математику — Stepik; 3.9; Курс позволит вам овладеть базовыми понятиями и принципами дискретной математики и некоторых ее смежных глав. Пройдя курс, вы сможете решать огромное количество задач, которые возникают как в жизни, так и в работе даже у нетехнических специалистов. Также курс можно рассматривать как предварительный для более продвинутых курсов по математике и анализу данных.; Bioinformatics Institute; Дмитрий Мелешко 
